title,subsection,type,main_content,context,outcome
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Increased OXPHOS in Dnmt3aR878H/+ HSPCs,Q2,"Analysis of publicly available RNA-sequencing (RNA-seq) datasets from primary AML samples revealed an increase in the expression of genes involved in oxidative phosphorylation (OXPHOS) in DNMT3A R882-mutated patient samples, but not in non-R882 DNMT3A-mutated samples, compared with DNMT3A wild-type samples (Extended Data Fig. 1a)",(missing),(missing)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Increased OXPHOS in Dnmt3aR878H/+ HSPCs,Q1,To validate this finding in the context of clonal haematopoiesis,(missing),we analysed a previously published single-cell RNA-sequencing (scRNA-seq) dataset of CD34+-enriched HSPCs from individuals with clonal haematopoiesis17
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Increased OXPHOS in Dnmt3aR878H/+ HSPCs,Q2,Pseudobulk differential expression analysis also showed an increase in OXPHOS gene expression in DNMT3A R882-mutated cells relative to wild-type cells (Extended Data Fig. 1b),(missing),(missing)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Increased OXPHOS in Dnmt3aR878H/+ HSPCs,Q1,These findings led us to explore the potential for differences in mitochondrial function between Dnmt3aR878H/+ and Dnmt3a+/+ mouse HSPCs,(missing),"We found that Dnmt3aR878H/+ lineage-negative, KIT-positive (LK) cells, which are enriched for HSPCs, possessed higher levels of basal and maximal oxygen consumption rates (OCRs) than Dnmt3a+/+ LK cells, as determined by extracellular flux analysis (Fig. 1a)"
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Increased OXPHOS in Dnmt3aR878H/+ HSPCs,Q2,"Dnmt3aR878H/+ lineage-negative, KIT-positive (LK) cells, which are enriched for HSPCs, possessed higher levels of basal and maximal oxygen consumption rates (OCRs) than Dnmt3a+/+ LK cells (Fig. 1a)",(missing),(missing)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Increased OXPHOS in Dnmt3aR878H/+ HSPCs,Q2,"These differences were also observed in unfractionated whole bone marrow (WBM) cells, albeit by a smaller magnitude (Extended Data Fig. 1c)",(missing),(missing)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Increased OXPHOS in Dnmt3aR878H/+ HSPCs,Q2,"the level of mitochondrial reactive oxygen species (ROS) and the ratio of mitochondrial transmembrane potential (ΔΨm) to mitochondrial mass were higher in mutant LK cells than in wild-type LK cells (Fig. 1b,c)",(missing),(missing)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Increased OXPHOS in Dnmt3aR878H/+ HSPCs,Q2,"the Dnmt3aR878H mutation causes metabolic reprogramming in HSPCs, resulting in upregulation of OXPHOS",(missing),"Together, these findings indicate that the Dnmt3aR878H mutation causes metabolic reprogramming in HSPCs, resulting in upregulation of OXPHOS."
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q1,To test this,We postulated that the increased mitochondrial respiration in Dnmt3aR878H HSPCs is required for their competitive advantage over wild-type cells,we first established an in vitro competition assay in which CD45.2+ Dnmt3aR878H/+ and CD45.1+ Dnmt3a+/+ LK cells were mixed at a ratio of approximately 2:3 and cultured in cytokine-supplemented methylcellulose medium for around 10 days
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q2,the proportion of CD45.2+ Dnmt3aR878H/+ cells was consistently 20% to 30% higher than that of CD45.2+ Dnmt3a+/+ cells in the first passage and 40% to 50% higher in the second passage (Extended Data Fig. 1e),(missing),demonstrating the competitive advantage of the mutant cells
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q1,"Using this assay, we studied the effect of genetic knockdown of mitochondrial electron transport chain (ETC) subunits on the competitive advantage of Dnmt3aR878H/+ HSPCs",(missing),"by transducing the mixed CD45.2+ mutant–CD45.1+ wild-type population with lentiviral vectors expressing short hairpin RNAs (shRNAs) targeting Ndufv1 and Cox15 (Extended Data Fig. 2a), which encode critical subunits in complex I and complex IV of the ETC, respectively"
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q2,"Downregulation of these genes reduced the basal OCR and competitive advantage of CD45.2+ Dnmt3aR878H/+ cells (Fig. 1d,e)",(missing),indicating that mutant HSPCs are dependent on increased OXPHOS to outcompete their wild-type counterparts
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q1,To explore the translational relevance of this finding,metformin—a commonly used oral anti-diabetic drug and pharmacologic inhibitor of complex I8,we tested the effect of metformin... on Dnmt3aR878H/+ LK HSPCs
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q2,treatment with metformin at a clinically relevant concentration18 (50 μM) suppressed the competitive advantage of mutant cells in vitro (Fig. 1f),Consistent with the genetic knockdown studies,(missing)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q2,"This effect was rescued by expression of NDI1, a metformin-resistant yeast analogue of complex I19,20",(missing),thus confirming that the effect of metformin was due to on-target complex I inhibition (Fig. 1g)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q2,Metformin treatment also selectively reduced the clonogenic potential of Dnmt3aR878H/+ LK HSPCs over Dnmt3a+/+ LK HSPCs in standard colony-forming unit (CFU) assays (Extended Data Fig. 2b),(missing),(missing)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q1,To determine whether the effect of metformin was relevant in vivo and over a longer treatment period,(missing),we conducted a competitive repopulation experiment by mixing CD45.2+ Dnmt3aR878H/+ or Dnmt3a+/+ WBM cells with CD45.1+ Dnmt3a+/+ WBM cells at a 2:3 ratio and transplanting the mixed cells into lethally irradiated recipients (Extended Data Fig. 2c)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q2,"Peripheral blood chimerism analysis showed a stable ratio of CD45.2+ to CD45.1+ cells in mice that received CD45.2+ Dnmt3a+/+ control cells, and the ratio was not affected by metformin treatment (Fig. 1h and Supplementary Fig. 1b)",(missing),(missing)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q2,the ratio of CD45.2+ to CD45.1+ cells steadily increased over a 7-month period in mice that received CD45.2+ Dnmt3aR878H/+ cells (Fig. 1h),(missing),reflecting their competitive advantage over CD45.1+ wild-type cells
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q2,metformin decreased this competitive advantage up to 7 months (Fig. 1h),(missing),Our findings collectively indicate that inhibition of mitochondrial respiration is a potential strategy for targeting DNMT3A R882 mutation-driven clonal haematopoiesis
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Dependency on mitochondrial respiration,Q2,This effect was observed in both the myeloid and lymphoid compartments (Extended Data Fig. 2d and Supplementary Fig. 1b),(missing),(missing)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Metformin suppresses Dnmt3aR878H/+ HSPCs,Q2,Metformin suppressed the long-term competitive advantage of Dnmt3aR878H/+ donor cells in vivo (Fig. 1h),(missing),reflective of an effect at the HSC level
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Metformin suppresses Dnmt3aR878H/+ HSPCs,Q1,To provide independent evidence for an effect at the HSC level and gain insights into the mechanism of action of metformin,(missing),we performed scRNA-seq analysis on LK-enriched bone marrow cells from the untreated and metformin-treated recipients at the end of the 7-month treatment period (Fig. 1h)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Metformin suppresses Dnmt3aR878H/+ HSPCs,Q2,"A total of 22,407 cells from untreated control mice (n = 2) were sequenced, 84.6% of which were CD45.2+ Dnmt3aR878H/+ cells (Fig. 2a)",(missing),(missing)
Metformin reduces the competitive advantage of Dnmt3aR878H HSPCs,Metformin suppresses Dnmt3aR878H/+ HSPCs,Q2,"a total of 23,818 cells from metformin-treated mice (n = 2) were sequenced, and the proportion of CD45.2+ Dnmt3aR878H/+ cells was significantly less at 56.5% (P < 0.0001 by chi-square test) (Fig. 2a)",For comparison,(missing)
